Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6,Nr.7,Nr.8
100,2,5,7,8,10,11,13,18
99,2,7,8,9,14,15,16,18
98,1,2,6,9,11,15,18,20
97,1,4,8,9,10,12,13,19
96,3,6,9,13,14,17,18,20
95,1,3,10,11,12,14,18,19
94,2,5,6,7,9,10,12,14
93,2,3,6,8,9,10,12,18
92,2,5,7,10,13,14,15,18
91,2,7,8,9,11,14,18,19
90,6,7,8,9,11,17,18,19
89,2,3,9,10,11,13,16,18
88,2,4,5,7,9,13,15,16
87,1,5,7,8,9,13,19,20
86,3,6,7,8,9,12,14,20
85,5,6,15,16,17,18,19,20
84,8,11,12,13,14,15,19,20
83,1,5,7,8,9,14,16,18
82,5,6,7,8,11,13,18,20
81,3,6,7,8,10,11,13,14
80,4,6,11,13,14,17,18,19
79,2,3,7,8,12,13,15,19
78,1,3,11,12,17,18,19,20
77,4,5,6,9,10,15,17,19
76,2,3,6,9,10,11,14,17
75,2,3,4,7,11,12,15,17
74,1,5,7,9,12,13,16,17
73,3,4,5,10,11,13,17,19
72,2,3,12,14,17,18,19,20
71,2,4,7,12,13,14,15,17
70,6,7,8,11,14,15,17,19
69,2,3,5,6,9,15,18,20
68,2,3,5,8,9,14,16,20
67,1,6,7,10,11,15,17,20
66,1,10,11,14,15,16,18,20
65,1,2,3,6,8,10,16,18
64,2,6,11,13,15,16,18,20
63,2,3,5,6,7,10,13,16
62,2,3,5,7,12,13,16,20
61,3,5,6,11,14,16,18,19
60,2,3,10,12,15,16,17,18
59,2,5,6,9,10,13,15,18
58,2,5,6,7,8,9,17,18
57,1,2,8,10,12,15,17,20
56,2,5,10,11,12,13,15,17
55,5,6,7,11,13,16,17,19
54,1,6,8,9,14,15,17,18
53,2,5,8,11,14,16,17,18
52,3,5,7,8,11,12,13,18
51,5,8,10,11,13,14,17,19
50,2,3,8,9,10,14,17,18
49,2,8,9,10,13,14,16,17
48,4,6,8,10,11,13,19,20
47,1,3,4,5,11,14,19,20
46,4,5,6,7,9,13,15,20
45,2,5,7,10,11,13,14,17
44,1,6,7,11,12,13,14,19
43,1,2,4,9,13,17,19,20
42,2,3,6,7,13,14,16,19
41,1,5,7,10,11,12,15,18
40,6,7,10,12,14,15,18,20
39,2,9,10,14,15,16,19,20
38,1,5,6,7,8,11,18,20
37,1,5,9,14,16,17,18,19
36,1,2,3,10,13,15,17,19
35,4,6,8,11,13,15,16,17
34,3,7,8,10,13,17,19,20
33,1,5,10,11,14,16,17,18
32,3,4,7,14,15,16,17,20
31,5,6,9,11,12,15,16,19
30,3,7,9,11,12,13,19,20
29,1,2,4,7,10,11,18,20
28,2,4,6,8,10,14,16,20
27,6,9,10,11,13,17,19,20
26,2,3,11,12,15,16,19,20
25,6,8,10,12,14,16,18,20
24,2,5,6,8,11,15,16,19
23,1,2,3,4,7,8,11,17
22,1,7,10,13,15,18,19,20
21,3,4,7,9,13,14,16,18
20,6,7,8,9,10,11,12,13
19,4,7,9,11,17,18,19,20
18,1,2,5,7,9,10,15,17
17,2,3,8,11,14,15,18,19
16,3,5,7,13,16,18,19,20
15,1,3,6,7,9,12,14,18
14,2,3,4,7,9,12,15,16
13,5,7,9,11,12,16,17,18
