Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6,Nr.7,Nr.8,Nr.9,Nr.10,Nr.11,Nr.12
1,1,2,3,7,8,11,14,16,18,19,21,23
2,5,6,7,8,9,10,12,15,17,18,19,24
3,1,2,3,8,9,11,13,14,20,21,22,24
4,2,5,7,9,11,12,13,17,19,21,23,24
5,3,4,5,7,8,10,11,14,16,17,18,22
6,3,5,9,10,11,12,16,17,20,22,23,24
7,1,2,4,6,9,13,14,18,19,20,21,22
8,2,4,5,6,7,8,9,13,15,17,18,20
9,2,5,6,10,11,12,13,15,16,18,22,23
10,1,2,3,6,9,12,15,16,18,19,23,24
11,3,4,5,10,11,13,14,15,16,20,21,23
12,5,6,8,9,10,11,12,13,16,19,21,24
13,2,4,5,9,10,13,15,17,19,22,23,24
14,1,2,5,7,9,10,11,14,15,17,21,22
15,1,2,3,5,11,12,13,15,16,17,21,24
16,1,2,7,10,11,13,14,15,19,21,22,24
17,2,3,7,10,11,12,14,15,17,18,20,21
18,2,3,4,5,8,14,16,17,18,19,20,21
19,1,2,6,9,11,12,13,15,17,18,20,21
20,2,3,7,8,10,12,13,18,19,20,21,23
21,2,4,5,6,8,9,12,15,17,19,20,24
22,1,2,6,7,8,9,13,17,18,20,21,24
23,4,7,8,10,11,12,14,15,16,19,21,22
24,1,6,7,9,10,11,13,15,16,19,20,24
25,1,4,7,8,11,12,13,14,16,18,20,24
26,1,3,7,9,10,12,14,17,18,19,20,24
27,1,4,5,6,8,13,14,18,19,21,22,24
28,1,3,4,5,6,7,8,9,17,19,22,23
29,1,2,10,11,12,13,14,15,17,21,22,24
30,2,6,9,10,11,12,14,15,18,19,20,23
31,1,4,5,6,13,15,16,18,19,21,22,23
32,4,8,9,10,13,14,15,16,18,19,22,24
33,1,2,6,7,9,10,11,13,14,16,23,24
34,4,5,6,7,8,11,13,14,15,16,17,22
35,2,3,6,8,9,10,11,13,15,17,19,24
