Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
1,5,13,26,38,37,25
2,20,32,38,21,5,11
3,32,27,38,11,10,29
4,10,36,31,40,3,38
5,24,11,21,32,22,15
6,32,5,8,7,22,24
7,38,31,11,10,8,37
8,12,25,1,6,22,9
9,35,10,7,17,27,26
10,6,4,9,25,32,38
11,14,20,30,18,10,2
12,11,23,15,40,4,1
13,6,27,35,11,22,34
14,9,4,35,1,31,19
15,20,4,35,33,12,11
16,9,6,39,1,7,34
17,33,2,34,11,30,25
18,36,27,24,29,25,26
19,21,22,13,24,32,26
20,9,39,10,17,40,5
21,28,10,34,13,36,4
22,26,34,6,22,39,20
23,27,15,23,28,6,4
24,17,24,20,19,26,15
25,18,21,27,13,5,31
26,5,21,36,3,29,11
27,39,14,22,27,40,23
28,1,30,13,15,11,20
29,8,5,34,33,14,1
30,2,13,24,28,37,22
31,19,3,25,31,38,22
32,37,18,23,32,30,17
33,14,37,35,13,33,21
34,23,33,35,27,20,32
35,14,12,37,40,21,7
36,27,3,19,20,37,31
37,21,29,33,12,36,38
38,21,40,9,35,19,26
39,26,19,37,36,18,4
40,23,24,14,10,5,29
41,23,38,32,8,17,4
42,9,22,14,12,17,25
43,29,5,32,15,20,40
44,5,7,34,28,16,19
45,4,17,6,25,34,9
46,33,12,37,2,13,1
47,8,23,30,22,3,11
48,3,34,39,1,31,25
49,5,24,17,11,18,32
50,27,36,9,21,26,32
51,38,6,24,36,19,34
52,22,3,24,2,12,4
53,19,6,38,2,14,31
54,17,4,33,30,39,35
55,1,38,23,30,2,37
56,16,17,34,6,15,32
57,40,22,4,39,24,29
58,10,29,2,25,36,16
59,40,4,8,22,2,13
60,16,25,3,14,7,29
61,33,27,22,12,19,10
62,40,25,30,11,12,9
63,32,35,28,12,11,33
64,31,36,29,2,26,34
65,35,40,33,25,32,5
66,38,31,8,35,20,6
67,21,10,39,30,29,2
68,11,17,18,7,4,21
69,16,26,4,35,12,9
70,37,23,22,14,2,29
71,3,23,4,17,31,32
72,25,18,26,1,27,21
73,21,29,38,40,20,7
74,37,26,9,28,39,13
75,8,12,38,6,16,11
76,39,16,1,10,5,35
77,36,19,26,34,38,10
78,40,37,14,30,16,13
79,37,40,20,1,12,9
80,7,35,3,40,18,25
81,19,33,29,3,27,7
82,13,31,26,7,33,10
83,6,15,10,20,39,12
84,4,20,17,7,39,15
85,3,35,5,19,38,22
86,13,16,18,29,2,9
87,13,17,8,22,10,39
88,26,18,10,8,16,14
89,26,27,4,36,13,19
90,31,6,27,39,14,18
91,15,31,16,20,5,1
92,10,15,20,21,4,5
93,36,33,16,10,9,39
94,32,20,31,24,5,23
95,13,7,22,9,24,30
96,32,7,25,21,15,40
97,22,37,17,20,29,24
98,11,17,32,20,1,28
99,25,8,18,12,23,38
100,22,1,29,33,18,27
101,22,29,6,26,24,15
102,29,6,36,21,33,35
103,18,21,28,10,7,1
104,28,3,34,16,25,38
105,21,14,38,22,11,23
106,25,37,10,20,24,40
107,1,40,16,11,24,17
108,16,1,14,32,30,33
109,38,6,22,21,32,20
110,5,38,8,25,37,3
111,35,39,11,28,27,19
112,3,33,9,21,18,17
113,15,30,28,40,37,5
114,5,10,12,30,19,35
115,7,1,37,18,29,35
116,4,18,16,19,5,21
117,23,40,37,13,34,8
118,40,26,21,6,14,5
119,4,38,22,27,25,26
120,21,6,34,24,28,18
121,20,21,31,5,35,28
122,11,14,15,35,34,3
123,32,5,38,7,36,8
124,9,6,28,19,25,13
125,24,14,27,22,15,5
126,33,22,30,13,29,36
127,16,4,20,12,3,2
128,20,36,37,23,3,19
129,30,18,36,4,14,20
130,29,14,22,16,8,30
131,11,32,17,14,18,8
132,30,4,6,23,13,21
133,14,23,38,18,37,11
134,5,33,3,32,29,16
135,9,10,30,35,36,23
136,35,10,11,26,16,2
137,19,33,23,14,8,20
138,35,9,3,25,22,8
139,37,20,3,8,28,27
140,14,15,26,40,11,3
141,14,26,7,12,24,19
142,25,33,14,20,2,15
143,35,20,2,31,28,16
144,35,32,4,30,40,29
145,23,11,36,26,2,12
146,3,27,23,15,4,37
147,6,21,25,39,32,18
148,5,8,4,37,39,30
149,34,32,15,18,31,40
150,40,25,18,17,21,4
151,22,15,13,30,28,39
152,30,25,19,36,2,37
153,16,12,9,26,10,1
154,40,20,14,19,38,28
155,39,23,17,18,14,20
156,6,40,39,25,21,4
157,7,13,9,34,28,11
158,24,37,5,31,19,17
159,18,12,13,7,37,29
160,16,36,9,34,40,3
161,33,7,4,34,29,37
162,6,7,21,33,14,28
163,23,8,12,28,5,6
164,14,7,2,10,37,29
165,8,4,12,9,20,5
166,37,9,24,34,21,2
167,17,40,20,34,35,26
168,3,33,5,30,12,15
169,21,34,14,23,30,25
170,19,39,27,37,31,30
171,40,35,39,37,29,33
172,34,21,23,14,6,27
173,20,16,26,27,2,32
174,22,23,11,16,39,2
175,32,35,2,37,6,38
176,16,33,14,32,27,8
177,15,14,21,26,40,17
178,37,1,18,20,32,11
179,3,25,36,22,32,18
180,10,36,20,9,22,35
181,23,30,20,28,5,7
182,34,29,22,14,38,30
183,15,40,9,2,12,22
184,20,31,1,35,40,11
185,34,36,15,21,11,16
186,36,13,37,11,34,7
187,20,14,17,36,8,2
188,28,12,30,37,21,7
189,30,38,16,12,1,14
190,37,3,30,29,24,5
191,39,25,29,17,40,9
192,26,27,3,11,20,5
193,10,38,14,2,18,31
194,4,9,23,29,22,1
195,3,24,31,17,29,11
196,25,5,33,38,27,10
197,24,13,3,35,2,40
198,35,34,18,21,36,24
199,9,40,15,7,4,18
200,30,6,25,2,28,38
201,25,27,20,21,2,38
202,31,34,39,4,2,7
203,7,36,30,14,24,38
204,29,6,2,40,20,25
205,32,35,37,31,39,30
206,10,38,24,29,14,23
207,17,28,38,20,7,21
208,8,30,14,7,36,12
209,37,16,6,29,2,3
210,34,32,15,3,37,29
211,19,30,7,35,27,13
212,17,29,25,11,22,13
213,15,13,38,5,23,33
214,14,40,19,18,32,38
215,33,7,34,2,30,13
216,5,27,21,23,7,13
217,10,27,17,31,22,34
218,5,40,18,27,29,19
219,10,19,36,12,25,30
220,30,15,37,9,10,33
221,8,27,26,30,34,7
222,5,25,35,22,40,3
223,4,26,23,37,9,22
