Data tragerii->,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
1,34,26,36,29,11,25
2,41,16,14,8,29,47
3,45,41,38,46,23,33
4,21,20,9,5,2,14
5,17,13,5,1,20,9
6,43,39,4,28,20,5
7,11,35,13,1,33,14
8,28,6,49,18,9,36
9,42,47,44,45,6,24
10,36,29,4,1,45,42
11,32,40,9,31,21,28
12,23,46,8,11,48,13
13,33,5,4,18,16,8
14,47,21,1,40,31,39
15,15,34,31,37,6,24
16,25,4,19,41,20,36
17,16,38,19,27,41,45
18,29,8,2,34,46,37
19,41,14,49,25,2,44
20,26,28,44,46,3,45
21,3,21,45,19,4,29
22,40,13,45,9,43,41
23,4,5,30,23,36,1
24,15,21,24,47,16,18
25,2,3,24,40,6,43
26,21,11,44,43,32,5
27,36,6,34,13,47,49
28,20,26,39,25,14,21
29,35,42,17,41,28,33
30,9,44,5,16,31,10
31,9,15,12,27,44,46
32,18,47,5,14,46,6
33,6,15,42,43,45,32
34,16,40,9,36,37,43
35,22,23,11,39,42,8
36,39,5,19,13,15,32
37,48,17,34,25,14,5
38,3,37,6,22,2,10
39,24,4,42,25,37,20
40,24,7,34,2,9,37
41,30,13,1,42,34,19
42,1,43,21,45,26,20
43,11,48,3,19,10,5
44,13,27,37,8,23,12
45,39,7,4,13,36,22
46,30,42,44,18,10,31
47,27,20,25,46,22,11
48,30,16,4,9,13,2
49,25,35,30,4,11,14
50,24,7,46,35,3,27
51,24,43,1,25,46,22
52,1,27,34,49,14,6
53,42,25,38,22,27,15
54,15,31,26,4,42,17
55,9,38,45,21,20,5
56,22,31,34,47,10,49
57,12,26,9,45,4,47
58,2,41,42,6,39,12
59,24,16,28,21,6,33
60,42,44,10,3,33,27
61,38,32,31,49,3,4
62,16,42,2,6,46,30
63,7,5,36,41,4,32
64,14,4,19,49,34,38
65,47,3,49,6,7,24
66,6,44,1,4,19,8
67,38,17,5,11,36,13
68,6,11,25,9,12,1
69,48,6,4,30,13,26
70,19,26,45,25,22,3
71,41,13,21,43,45,28
72,40,39,14,46,7,41
73,34,21,25,14,46,43
74,22,18,5,28,29,15
75,18,19,35,23,45,13
76,22,47,15,14,41,2
77,33,25,30,17,13,31
78,11,25,43,42,30,23
79,32,43,40,44,2,26
80,27,23,2,44,48,38
81,21,10,40,23,3,38
82,9,10,27,5,38,33
83,16,7,26,25,31,13
84,19,42,22,18,43,20
85,11,36,7,31,19,12
86,12,31,46,17,6,5
87,6,35,3,1,43,42
88,16,37,7,33,28,36
89,7,19,22,6,5,45
90,15,11,41,14,9,42
91,35,44,17,10,22,18
92,21,35,46,20,5,31
93,17,42,39,30,36,4
94,2,42,1,44,19,8
95,17,15,19,11,7,9
96,29,32,43,30,21,4
97,34,23,1,18,5,11
